0,119237,@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡
1,119238,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r"
2,119239,@76328 I really hope you all change but I'm sure you won't! Because you don't have to!
3,119240,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back"
4,119241,@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k
5,119243,"@105836 Have you tried from another device, Miriam ^MM"
6,119244,"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too"
7,119245,"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM"
8,119242,@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?
9,119246,@105836 That's what we're here for Miriam 😊  The team should send you an email shortly ^HP
10,119248,@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT
11,119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution"
12,119250,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?"
13,119252,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
14,119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye
15,119254,"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY"
16,119255,@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?
17,119257,@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY
18,119258,"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!"
19,119259,"@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY"
20,119260,@SpotifyCares Brilliant thanks 😊
21,119261,"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP"
22,119256,@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!
23,119262,@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT
24,119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate"
25,119264,"@105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2"
26,119265,First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates
27,119267,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT"
28,119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent
29,119269,@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
